Date,ALSO3.SA,BBDC4.SA,BBSE3.SA,BMOB3.SA,INTB3.SA,ITSA4.SA,LJQQ3.SA,LWSA3.SA,MLAS3.SA,POSI3.SA,PSSA3.SA,SQIA3.SA,TOTS3.SA
2019-05-07,,22871371,6804200,,,35456585,,,,45700,2271600,,3279441
2019-05-08,,21069596,5876500,,,17265635,,,,344500,1763400,,5754088
2019-05-09,,13867555,4721200,,,17389962,,,,54100,1277000,,4974302
2019-05-10,,14566197,4923500,,,22944600,,,,47000,1428800,,3175483
2019-05-13,,18722777,6232800,,,49642337,,,,97600,1066200,,1866975
2019-05-14,,16503601,5273900,,,27040980,,,,44100,961000,,2438075
2019-05-15,,24808509,5554200,,,56215698,,,,115900,2651600,,967471
2019-05-16,,29397264,5969900,,,27073601,,,,222300,1156200,,1678113
2019-05-17,,32340771,4507200,,,32749683,,,,169900,1414800,,1413464
2019-05-20,,19525370,4903700,,,31423744,,,,61600,721600,,978899
2019-05-21,,29764620,4459500,,,32141672,,,,73200,1117800,,2637464
2019-05-22,,20361504,4314900,,,21464464,,,,72500,1211800,,1634806
2019-05-23,,18735954,5674300,,,21516212,,,,41800,1327400,,8372520
2019-05-24,,12938251,3412600,,,16163328,,,,49000,1630000,,2129820
2019-05-27,,11599798,2622600,,,14877478,,,,65000,679600,,1533157
2019-05-28,,43920338,6917100,,,45109567,,,,60000,2415800,,5418681
2019-05-29,,27660575,4459100,,,50556909,,,,59100,1650600,,2025765
2019-05-30,,18513145,2772800,,,23211333,,,,80500,908200,,3909281
2019-05-31,,18205284,4289000,,,23342080,,,,251500,2795600,,2992634
2019-06-03,,24380060,5175900,,,23157620,,,,147200,1662000,,4096640
2019-06-04,,19514323,4386500,,,30811934,,,,63400,1514400,,3558020
2019-06-05,,14948061,4506200,,,22972374,,,,46700,1779400,,4352868
2019-06-06,,16194277,4730100,,,15745017,,,,113100,835600,,3832593
2019-06-07,,15805092,2575200,,,15974413,,,,151000,1626200,,3023610
2019-06-10,,19707850,3105200,,,31693753,,,,385500,1087000,,3542983
2019-06-11,,26825772,3704900,,,33218956,,,,259100,2083000,,4089423
2019-06-12,,28634335,3940700,,,26324755,,,,125400,1798000,,2849183
2019-06-13,,44256548,5869500,,,39484578,,,,306200,791000,,4164306
2019-06-14,,16948155,4906400,,,25970508,,,,231000,918400,,4441886
2019-06-17,,18445929,2524300,,,14850621,,,,203000,1564000,,4459630
2019-06-18,,26954347,4648000,,,36242637,,,,108600,1779600,,3650948
